id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist,,,,,,,,,,,,
4cHUfCT3yetKajxWKLhDlT,0.763,0.8340000000000001,1,-5.237,1,0.0329,0.271,0.00027,0.263,0.965,95.017,Britney Spears,,,,,,,,,,,,
2A5wsFh5CsplWQN8pj7obL,0.823,0.6459999999999999,7,-7.691,1,0.044,0.037,2.9e-05,0.0936,0.867,105.01,Britney Spears,,,,,,,,,,,,
5CoAruUboeDMis1J7sacjp,0.5329999999999999,0.503,3,-7.898,1,0.0243,0.599,0,0.109,0.4479999999999999,78.982,Britney Spears,,,,,,,,,,,,
28PZfywHz6pa2xlk58GyNf,0.836,0.615,0,-4.044,0,0.0366,0.00349,2.96e-06,0.0798,0.968,107.988,Britney Spears,,,,,,,,,,,,
01ACsk2knUnsfWeZp63nqa,0.845,0.935,4,-3.262,1,0.0671,0.0278,3.59e-05,0.37,0.962,129.94299999999998,Britney Spears,,,,,,,,,,,,
7rAPzNh1CiUKIQwpDsHs1l,0.564,0.8959999999999999,8,-7.643,1,0.0331,4.03e-05,0.3989999999999999,0.362,0.843,135.02200000000002,Britney Spears,,,,,,,,,,,,
2a0pbMoFSftTjwfQKW7d3j,0.525,0.8909999999999999,0,-4.615,0,0.0318,0.00873,0.00307,0.1119999999999999,0.633,127.999,Britney Spears,,,,,,,,,,,,
6riVbBIhg1OIgLLheLRwgO,0.619,0.927,7,-7.392,0,0.057,0.00593,0.657,0.216,0.6829999999999999,124.005,Britney Spears,,,,,,,,,,,,
3160LwahuydbNkDvbN6rPM,0.6679999999999999,0.892,2,-3.946,1,0.0448,0.00232,0.00154,0.221,0.429,105.022,Britney Spears,,,,,,,,,,,,
3s8g8yM5RxMAckOtPWzssB,0.499,0.926,8,-2.818,1,0.0354,0.0391,0.0147,0.3979999999999999,0.777,108.023,Britney Spears,,,,,,,,,,,,
6ldwfK0yWgTAlmIfuQkTYN,0.847,0.843,5,-3.579,0,0.106,0.415,0.000134,0.107,0.963,110.027,Britney Spears,,,,,,,,,,,,
5p0KCAuu5nrHpTuAIhHdLw,0.682,0.894,0,-1.73,0,0.0727,0.0381,0,0.416,0.845,95.992,Britney Spears,,,,,,,,,,,,
