id,artist,latent_0,latent_1,latent_2,latent_3,latent_4
4PoTu14Wi2o9l0Rb09gBCa,Britney Spears,-0.5478308,-1.2753012,2.9492052,-0.6034295,0.55636567
0FaBorty7hr1lpyzXSRPEf,Britney Spears,1.0817231,0.9223477,0.36456794,0.26057485,1.8203726
5FFFvpCMxIWtTF7DmUBBIs,Britney Spears,-0.21018232,0.8216555,-1.5042312,0.25972208,-0.8297961
4p701COQh5KvaP4zvqnx8F,Britney Spears,-1.8212377,0.52583396,1.6406974,-0.0039202957,-0.8561427
6fA0t8bkZ4taxr86QkokWJ,Britney Spears,-0.94998056,1.6166843,1.6199335,-1.2038447,1.6394098
7zs5aog6tlIeniHcnoB0HJ,Britney Spears,-0.020571496,2.4446146,-0.649516,0.6865979,-0.11738665
1dVOsIMGb0eqoqslLLlbxM,Britney Spears,0.3568311,1.2651185,0.4883364,-0.93990016,-0.084048465
7LooG61VBsz4PqtCCVUs0z,Britney Spears,1.0481126,0.46885633,0.39282697,-0.1355237,-1.0094527
7dvpIzRPKzwXWDn9MHZHJF,Britney Spears,0.3502285,0.34593904,-0.36536583,0.51434714,-0.006921012
5rCyOrQQiGVYCpQAwOC94v,Britney Spears,0.4678361,1.0567886,0.46850967,-0.13294916,-1.2241176
35gkbAO8yunXSfjDeVmfwc,Britney Spears,-0.6099223,-0.78649867,-1.3867967,0.77073026,-0.09562386
2ln7Hn7Du5CTqCNfjlmuq9,Britney Spears,1.7098701,1.6541228,-0.42759618,0.47537518,0.7875263
7yqfQzebWWk1jk85YlqmuQ,Britney Spears,-0.16295391,-0.6730865,1.445512,0.14809461,0.30291563
7sqsAWZBRDzU77IHnFhtl2,Britney Spears,-2.0315146,-2.250435,-1.0446957,-0.6105226,-0.43599057
7rNyRiei6konJJ0l8ZMidQ,Britney Spears,-0.6176129,0.111607194,0.025070418,2.1273363,-0.5492967
4o0QFE4VT9xzW28mS7RD4Q,Britney Spears,-0.21239118,-0.91941893,-1.661964,-0.3829037,0.0039767
0uBmaWQsMJ7UKzBDtb6HiJ,Britney Spears,1.6741914,0.05355138,0.58500314,-0.19427046,1.7132965
1B87ZDrD3Pno9hS4stamWO,The Weeknd,-0.16295366,-0.21224806,-1.2444365,0.3292093,1.0810452
6yHkPtl6UQ7RjtJLBPzbJw,Rihanna,0.39820874,0.5421184,0.20122328,-0.12860347,1.2809924
5FsJ8AUxW1KBypdhFvbdkd,Chris Brown,0.16783348,-0.33756304,-0.18526638,-0.916872,-0.95747733
4AFgK4wP1iD5i8BYaLr9Vf,Nicki Minaj,1.1478242,0.21203451,1.1603732,1.2542397,-0.66755396
70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,-0.13034242,1.040583,-0.08962838,-0.7777125,0.15513484
4vUmTMuQqjdnvlZmAH61Qk,Ed Sheeran,-0.09328526,-1.0170633,0.37878528,0.12202875,0.50284624
4wuCQX7JvAZLlrcmH4AeZF,Ed Sheeran,-0.8229216,-0.49993268,0.55129087,-0.3849996,0.2005366
1AI7UPw3fgwAFkvAlZWhE0,Ed Sheeran,-0.3023384,-1.1646149,-1.3023112,-1.9134271,0.15341654
0VsGaRXR5WAzpu51unJTis,Ed Sheeran,0.3182335,-1.353339,0.10341915,0.96552694,-0.6064892
0hVXuCcriWRGvwMV1r5Yn9,Ed Sheeran,-2.022784,-1.2844913,1.1168344,0.47041222,-0.98972625
1DhRbox3xkceP64k3JeYfW,Ed Sheeran,-1.5116725,-0.08498462,-0.72708434,2.121853,0.1672729
0AtP8EkGPn6SwxKDaUuXec,Ed Sheeran,-0.61317194,0.41459966,-0.6278125,0.3507812,-0.31964138
1Bdptrvb7nQkq8kCw3siE9,Ed Sheeran,1.9756354,-0.4835323,0.66311103,0.71949995,-0.32656044
5T03itPFOPGGkvVPvPiyla,Ed Sheeran,-0.5325657,-0.21945734,1.1961663,0.67018116,-1.0264782
2qRN7PWiHRLprw4FpDeI9N,Ed Sheeran,-0.008201041,-2.6377654,-0.06299248,0.021423355,0.9383771
3FHXUqaUer9o231Je1zxIN,Ed Sheeran,-0.5488853,0.8489381,-1.2191771,0.5475958,-0.7095165
4vIKzWqtn44umal5jXq4wE,Ed Sheeran,0.41088912,-0.21510723,1.353588,-0.053013504,-1.5592822
5d1rmWWF1725tnYjq6rMDB,Ed Sheeran,1.0540574,-0.27963537,-0.36243805,-1.5891234,0.85981447
7hvO2qCwJVZxiyoA7c9i5d,Bruno Mars,-1.6741589,1.3858155,-1.1950603,1.2357672,0.46075615
4oGs2MK6C35jMJhaT151yg,Jennifer Lopez,0.5437859,0.8404516,0.84888196,0.52975804,-1.4296312
6J7WMB5GII6pEOzy687jhO,Ed Sheeran,-0.44105992,-0.40028626,1.8472003,0.14494577,-0.03999447
2tekljkdH6XLP4dOVcMyAA,Kelly Clarkson,-1.7596439,0.7827359,0.16644292,0.63884354,-0.006516655
2zfwqlO7iM7kNqxG1E7hE7,Jennifer Lopez,0.24278033,0.6416645,0.50326,-1.1035768,0.625543
2ICCOls3K7kjiAEv9br3vg,Jennifer Lopez,-0.21786109,0.78668576,-0.91308296,0.6379567,-0.34532633
7AUfOfYTfiHhgg2Pw1aTpw,Jennifer Lopez,0.49086866,-0.5238199,-0.29566032,0.70720404,-1.3847724
7GzvgUv3kPRlqMXghgsIfy,Jennifer Lopez,0.818575,-0.92134005,-1.0143688,1.2673115,-0.88949627
4StGynhiPfbhrRHz6wWPkr,Jennifer Lopez,-0.731437,-0.9514074,0.036504637,-0.5583408,-0.21846247
